question,contexts,ground_truth,evolution_type,metadata,episode_done
 What was the percentage of NTU's research impact assessed as world-leading or internationally excellent in the latest Research Excellence Framework (REF) 2021?,"[""Cyber Security Research Group (CSRG)\n        The cyber security research group (CSRG) is a dynamic team of seasoned professionals dedicated to researching and implementing effective solutions to safeguard against cyber threats.\n\nResearch Excellence Framework (REF) 2021\n\nIn the latest Research Excellence Framework (REF) 2021, 86% of NTU's research impact was assessed to be either world-leading or internationally excellent. The overall quality of each Unit of Assessment NTU submitted to REF in 2021 also saw an improvement from the previous REF in 2014.\n\nFind out more about REF 2021\n\nFind out more about our research\n\nOur facilities\n\nWith over £8 million invested, our computer science students will study in facilities designed to very high specifications with a variety of electronic and communication laboratories.""]",86% of NTU's research impact was assessed to be either world-leading or internationally excellent in the latest Research Excellence Framework (REF) 2021.,simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",True
" Where is the NTU Department of Engineering and IEEE Nanotechnology Chapter (UK & Ireland) distinguished lecture held?

(Note: The context provided does not directly answer a question about Lecture Theatre 3, Teaching and Learning Building. However, it implies that this location might be relevant to events or lectures hosted by NTU's Department of Engineering and IEEE Nanotechnology Chapter.)","['24\n                Jul\n            \n        \n        \n        \n            Joint NTU Department of Engineering and IEEE Nanotechnology Chapter (UK & Ireland) distinguished lecture\n            \n                Lecture Theatre 3, \n                \n                Teaching and Learning Building, \n                Clifton Campus, \n                \n                \n                \n                \n                NG11 8NS\n\n28\n                Aug\n            \n        \n        \n        \n            3rd International Conference of Quantum & Nonlinear Nanophotonics (ICQNN)\n            \n                \n                \n                Nottingham Trent University, Clifton Campus, \n                \n                \n                \n                Nottinghamshire, \n                United Kingdom, \n                NG11 8NS\n\nView all events\n\nBCS – The Chartered Institute for IT\n\nFollow us\n\nConnect through x\n\nConnect through facebook\n\nAlso in\n\nAcademic Schools']","The NTU Department of Engineering and IEEE Nanotechnology Chapter (UK & Ireland) distinguished lecture is likely held at the Teaching and Learning Building, Clifton Campus, Nottingham Trent University, NG11 8NS in the United Kingdom.",simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",True
 What is the focus of undergraduate courses offered by the Department of Computer Science at NTU?,"['Home\n\nStudy\n\nAcademic Schools\n\nScience and Technology\n\nDepartment of Computer Science\n\nDepartment of Computer Science\n\nWelcome to the Department of Computer Science at NTU. The department combines internationally significant research with an outstanding record for teaching excellence. Our state-of-the-art facilities and career-focused approach to course design provide the right conditions for students to succeed in their chosen fields.\n\nOur undergraduate and postgraduate courses are designed to be industrially relevant with the right balance of theory and practice. The British Computing Society (BCS) have accredited all of our undergraduate degrees to Chartered IT Professional (CITP) status, and towards Chartered Engineer (CEng) status with the Engineering Council. We are a thriving department combining expertise with modern facilities and equipment to create an outstanding environment for learning and development.']","The focus of undergraduate courses offered by the Department of Computer Science at NTU is to be industrially relevant, with a balanced mix of theory and practice. Additionally, all undergraduate degrees are accredited to Chartered IT Professional (CITP) status and towards Chartered Engineer (CEng) status.",simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",True
 What is the role of the Cyber Security Research Group (CSRG) at NTU in safeguarding against cyber threats?,"[""Cyber Security Research Group (CSRG)\n        The cyber security research group (CSRG) is a dynamic team of seasoned professionals dedicated to researching and implementing effective solutions to safeguard against cyber threats.\n\nResearch Excellence Framework (REF) 2021\n\nIn the latest Research Excellence Framework (REF) 2021, 86% of NTU's research impact was assessed to be either world-leading or internationally excellent. The overall quality of each Unit of Assessment NTU submitted to REF in 2021 also saw an improvement from the previous REF in 2014.\n\nFind out more about REF 2021\n\nFind out more about our research\n\nOur facilities\n\nWith over £8 million invested, our computer science students will study in facilities designed to very high specifications with a variety of electronic and communication laboratories.""]","The Cyber Security Research Group (CSRG) at NTU plays a dynamic and dedicated role in researching and implementing effective solutions to protect against cyber threats. As a team of seasoned professionals, they focus on safeguarding information systems from various forms of cyber attacks.",simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",True
 Which universities were among those to receive the first-ever Turing Network Development Awards?,"['NTU among universities to receive first-ever Turing Network Development Awards\n        \n            Wed 02 Feb 2022\n\nView all news\n\nOur events\n\n31\n                May\n            \n        \n        \n        \n            Sport Engineering Seminar Day 2024\n            \n                \n                \n                NTU Clifton Campus, \n                Teaching and Learning Building, \n                Clifton Lane, \n                Clifton, \n                Nottinghamshire, \n                \n                NG11 8NS\n\n18\n                Jun\n            \n        \n        \n        \n            Physical Activity and the Endocrine system 2024']",nan,simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",True
 What types of state-of-the-art facilities can students expect to find at NTU's Clifton Campus for their Computer Science studies?,"[""- BSc (Hons)\n\nAbout Computer Science\n\nFrom artificial intelligence to game technology, our courses span the whole spectrum of computer science.\n\nYou’ll study in state-of-the-art facilities at our Clifton Campus, which includes a robot arena, games consoles, networking and security, and human-interactive technology labs. It’s a self-contained campus with all the mod cons and equipment you might need.\n\nYou can count on the support of industry veterans from across the sector – from Fujitsu Systems to the US Department of Homeland Security. You can apply your learning to work placements, live industry briefs and research projects, as you gain real-world experience and enhance your career prospects in computing.\n\nLearn more about Computer Science at NTU\n\nDiscover the inspiring story behind Hannah's decision to pursue Computer Science at NTU. Look through other videos for an insightful tour of our facilities and get a glimpse into the enriching academic journey that awaits you.""]","Students studying Computer Science at NTU's Clifton Campus can expect to find a variety of state-of-the-art facilities, including a robot arena, games consoles, networking and security labs, as well as human-interactive technology labs. The campus is self-contained with all the necessary mod cons and equipment.",simple,"[{'source': 'https://www.ntu.ac.uk/course/computer-science', 'title': 'Computer Science | Nottingham Trent University', 'description': ""Pursue your passion for computer science. You'll get involved in industry projects and  research to develop skills and experience employers are looking for."", 'language': 'en', 'filename': 'https://www.ntu.ac.uk/course/computer-science'}]",True
 What are the various departments and programs offered under Academic Schools in Nottingham?,"['Academic Schools\n\nAnimal, Rural and Environmental Sciences\n\nArchitecture, Design and the Built Environment\n\nNottingham School of Art & Design\n\nArts and Humanities\n\nNottingham Business School\n\nNottingham Law School\n\nScience and Technology\n\nDepartment of Biosciences\n\nDepartment of Chemistry\n\nDepartment of Computer Science\n\nDepartment of Engineering\n\nDepartment of Forensic Science\n\nDepartment of Mathematics\n\nDepartment of Physics\n\nDepartment of Sport Science\n\nLeadership Team - Science and Technology\n\nForensic Science Short Courses\n\nView leadership team\n\nView all staff\n\nView all news\n\nSearch our research\n\nOpportunities\n\nThe John van Geest Cancer Research Centre\n\nPhysics and Mathematics Scholarship Group\n\nSocial Sciences\n\nNTU in Mansfield\n\nView all NLS staff\n\nView all NLS News\n\nView all NLS events\n\nNLS Leadership Team\n\nNLS Legal']","Under Academic Schools in Nottingham, various departments and programs are offered including Animal, Rural and Environmental Sciences; Architecture, Design and the Built Environment; Arts and Humanities; Business; Law; Science and Technology with a Leadership Team - Science and Technology; Forensic Science Short Courses; Department of Biosciences; Department of Chemistry; Department of Computer Science; Department of Engineering; Department of Forensic Science; Department of Mathematics; Department of Physics; Department of Sport Science. Additionally, there is the John van Geest Cancer Research Centre and opportunities such as the Physics and Mathematics Scholarship Group, Social Sciences, NTU in Mansfield, and various staff, news, events, and legal services.",simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",True
 What are the various undergraduate and postgraduate courses offered in the Interdisciplinary Science and Technology Centre (ISTeC) at NTU related to computer science?,"['Home\n\nCourses\n\nComputer Science\n\nComputer Science\n\nAs the digital economy continues to grow, and new and increasingly powerful technologies emerge, computer science underpins more and more of modern life. At NTU, we’ll use industry projects and collaborative research to help you develop the skills and experience that employers are looking for.\n\nFind your course\n\nOpen days are the perfect way to see what makes life and learning at NTU so special.\n\nBook an open day\n\nUndergraduate courses\n\nArtificial Intelligence\n\n\n\n    - MSc\n\nCloud and Enterprise Computing\n\n\n\n    - MSc\n\nComputer Science\n\n\n\n    - MSc\n\nComputer Science\n\n\n\n    - MComp (Hons)\n\nComputer Science\n\n\n\n    - BSc (Hons)\n\nComputer Science (Games Technology)\n\n\n\n    - BSc (Hons)\n\nComputer Science (with foundation year)\n\n\n\n    - BSc (Hons)\n\nComputer Science - Artificial Intelligence\n\n\n\n    - BSc (Hons)\n\nComputer Science - Artificial Intelligence (with foundation year)\n\n\n\n    - BSc (Hons)']","NTU offers a variety of undergraduate and postgraduate courses related to computer science, including MSc in Cloud and Enterprise Computing, Computer Science, Computer Science with an emphasis on Artificial Intelligence (with or without foundation year), BSc (Hons) in Computer Science (Games Technology), and BSc (Hons) in Computer Science (Artificial Intelligence).",simple,"[{'source': 'https://www.ntu.ac.uk/course/computer-science', 'title': 'Computer Science | Nottingham Trent University', 'description': ""Pursue your passion for computer science. You'll get involved in industry projects and  research to develop skills and experience employers are looking for."", 'language': 'en', 'filename': 'https://www.ntu.ac.uk/course/computer-science'}]",True
 What is the benefit of a hands-on teaching approach in computer science courses?,"[""Careers in Computer Science\n\nThe industry-focused nature of our courses ensures you stand out from the crowd when it comes to job applications and pursuing your future career. Our graduates are widely respected amongst employers and are perceived as having a competitive edge due to the hands-on approach of our teaching.\n\nOur recent graduates have secured roles at companies including:\n\nNext Retail Ltd\n\nBoots UK\n\nCisco Systems\n\nSchlumberger\n\nExperian\n\nBT\n\nRockstar Games\n\nWorldwide Clinical Trials UK Ltd\n\nAmerican Express\n\nUK Government\n\nThey have gone into a wide variety of job roles including:\n\nBusiness Analyst\n\nProgrammer\n\nProject Software Implementation Officer\n\nWeb Developer\n\nGames Tester\n\nGraduate Game Development and Programmer\n\nSoftware Engineer\n\nCyber Security Analyst\n\nProduct Consultant\n\nExplore Computer Science\n\nFind out about the facilities you'll have access to on your course and the benefits and support you'll receive as an NTU student.""]","A hands-on teaching approach in computer science courses provides numerous benefits, including equipping students with practical skills and experience that make them stand out to employers. This method allows graduates to be perceived as having a competitive edge due to their ability to apply theoretical knowledge effectively in real-world scenarios.",simple,"[{'source': 'https://www.ntu.ac.uk/course/computer-science', 'title': 'Computer Science | Nottingham Trent University', 'description': ""Pursue your passion for computer science. You'll get involved in industry projects and  research to develop skills and experience employers are looking for."", 'language': 'en', 'filename': 'https://www.ntu.ac.uk/course/computer-science'}]",True
 What is the Department of Computer Science at NTU known for in terms of research excellence?,"['Home\n\nStudy\n\nAcademic Schools\n\nScience and Technology\n\nDepartment of Computer Science\n\nDepartment of Computer Science\n\nWelcome to the Department of Computer Science at NTU. The department combines internationally significant research with an outstanding record for teaching excellence. Our state-of-the-art facilities and career-focused approach to course design provide the right conditions for students to succeed in their chosen fields.\n\nOur undergraduate and postgraduate courses are designed to be industrially relevant with the right balance of theory and practice. The British Computing Society (BCS) have accredited all of our undergraduate degrees to Chartered IT Professional (CITP) status, and towards Chartered Engineer (CEng) status with the Engineering Council. We are a thriving department combining expertise with modern facilities and equipment to create an outstanding environment for learning and development.']",The Department of Computer Science at NTU is known for combining internationally significant research with an outstanding record for teaching excellence.,simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",True
 What is the significance of NTU receiving the first-ever Turing Network Development Awards among universities?,"['NTU among universities to receive first-ever Turing Network Development Awards\n        \n            Wed 02 Feb 2022\n\nView all news\n\nOur events\n\n31\n                May\n            \n        \n        \n        \n            Sport Engineering Seminar Day 2024\n            \n                \n                \n                NTU Clifton Campus, \n                Teaching and Learning Building, \n                Clifton Lane, \n                Clifton, \n                Nottinghamshire, \n                \n                NG11 8NS\n\n18\n                Jun\n            \n        \n        \n        \n            Physical Activity and the Endocrine system 2024']",nan,simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",True
 Which universities were among those to receive the first-ever Turing Network Development Awards?,"['NTU among universities to receive first-ever Turing Network Development Awards\n        \n            Wed 02 Feb 2022\n\nView all news\n\nOur events\n\n31\n                May\n            \n        \n        \n        \n            Sport Engineering Seminar Day 2024\n            \n                \n                \n                NTU Clifton Campus, \n                Teaching and Learning Building, \n                Clifton Lane, \n                Clifton, \n                Nottinghamshire, \n                \n                NG11 8NS\n\n18\n                Jun\n            \n        \n        \n        \n            Physical Activity and the Endocrine system 2024']",nan,simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",True
 What role does a Senior Lecturer play at the School of Science & Technology?,"['Zoheir Ezziane\n            \n            \n                \n                Senior Lecturer\n                \n            \n            \n              \n                \n                    \n                \n            \n            \n                        \n                \n                    \n                    School of Science & Technology\n\nView all staff\n\nComputer Science courses\n\nIf you’re just starting out and are passionate about working in computing and technology, our accredited undergraduate computing courses can help your get there.\n\nView our courses\n\nOur research\n\nThe Computing and Informatics Research Centre’s (CIRC) unifying and overarching research vision is ‘Enabling Digital Technology’ and is grounded in high-quality, interdisciplinary work with expertise in advanced computer science topics with links to partners from both academia and industry. The CIRC’s research is delivered by four groups.']",nan,simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",True
